rank   director                              actor                            films_together  total_films
297    Rohit Shetty                          Ajay Devgn                       12              16         
298    V. Ravichandran                       V. Ravichandran                  12              16         
299    Hugo del Carril                       Hugo del Carril                  12              15         
300    Sergio Rubini                         Sergio Rubini                    12              14         
301    Vincenzo Salemme                      Vincenzo Salemme                 12              13         
302    Jackie Chan                           Jackie Chan                      12              12         
303    N.T. Rama Rao                         N.T. Rama Rao                    12              12         
304    Gérard Jugnot                         Gérard Jugnot                    12              12         
305    Santiago Segura                       Santiago Segura                  12              12         
306    Jimmy Wang Yu                         Jimmy Wang Yu                    12              12         
307    Harley Wallen                         Harley Wallen                    12              12         
308    Michael Curtiz                        Errol Flynn                      11              112        
309    Frank McDonald                        Roy Rogers                       11              90         
310    Henry King                            Tyrone Power                     11              65         
311    Carlo Vanzina                         Christian De Sica                11              60         
312    Dustin Ferguson                       Ken May                          11              57         
313    Lambert Hillyer                       Buck Jones                       11              55         
314    Lucio Fulci                           Franco Franchi                   11              49         
315    Karel Lamac                           Vlasta Burian                    11              46         
316    Mariano Laurenti                      Alvaro Vitali                    11              46         
317    Camillo Mastrocinque                  Totò                             11              46         
318    Paul Martin                           Rudolf Platte                    11              44         
319    Cirio H. Santiago                     Henry Strzalkowski               11              43         
320    Valentin Vaala                        Olavi Reimas                     11              43         
321    Norifumi Suzuki                       Bunta Sugawara                   11              42         
322    Lütfi Ö. Akad                         Osman Alyanak                    11              40         
323    Edvin Laine                           Edvin Laine                      11              39         
324    Andrzej Wajda                         Daniel Olbrychski                11              38         
325    Kenji Mizoguchi                       Eitarô Shindô                    11              37         
326    Sirri Gültekin                        Hüseyin Baradan                  11              37         
327    Lino Brocka                           Phillip Salvador                 11              36         
328    Toshio Masuda                         Tetsurô Tanba                    11              36         
329    J.B. Tanko                            Renato Aragão                    11              36         
330    Tunç Basaran                          Süleyman Turan                   11              35         
331    Chris Stokes                          Marques Houston                  11              35         
332    Herschell Gordon Lewis                William Kerwin                   11              34         
333    Richard Oswald                        Conrad Veidt                     11              34         
334    Mika Kaurismäki                       Kari Väänänen                    11              33         
335    Kihachi Okamoto                       Hideyo Amamoto                   11              33         
336    P. Ramlee                             Idris Hashim                     11              33         
337    Raúl de Anda                          Luis Aguilar                     11              32         
338    Victor Sjöström                       Victor Sjöström                  11              31         
339    Poj Arnon                             Jaturong Mokjok                  11              31         
340    Miroslav Cikán                        Jaroslav Marvan                  11              30         
341    Victor Lima                           Wilson Grey                      11              30         
342    Rama Rao Tatineni                     Shakti Kapoor                    11              30         
343    Sibi Malayil                          Mohanlal                         11              27         
344    Aziz M. Osman                         Saiful Apek                      11              26         
345    Bill Zebub                            Bill Zebub                       11              26         
346    Alfredo Zacarías                      Gaspar Henaine                   11              25         
347    Sam Mason-Bell                        Chris Mills                      11              25         
348    Gianfranco Parolini                   Brad Harris                      11              24         
349    Max Pécas                             Michel Vocoret                   11              24         
350    Buichi Saitô                          Akira Kobayashi                  11              24         
351    Teinosuke Kinugasa                    Kazuo Hasegawa                   11              23         
352    Oldrich Lipský                        Milos Kopecký                    11              23         
353    Robbie Moffat                         Jon-Paul Gates                   11              22         
354    Nagisa Ôshima                         Fumio Watanabe                   11              22         
355    Václav Vorlícek                       Vladimír Mensík                  11              22         
356    Orson Welles                          Orson Welles                     11              19         
357    Harry Joe Brown                       Ken Maynard                      11              19         
358    Demofilo Fidani                       Benito Pacifico                  11              19         
359    Phillip Ko                            Phillip Ko                       11              19         
360    Adurthi Subba Rao                     Akkineni Nageswara Rao           11              19         
361    Garry Marshall                        Hector Elizondo                  11              18         
362    Larry Cohen                           James Dixon                      11              18         
363    Xiaogang Feng                         You Ge                           11              18         
364    Jandhyala                             Brahmanandam                     11              18         
365    Joaquín Pardavé                       Joaquín Pardavé                  11              18         
366    Yûichi Fukuda                         Tsuyoshi Muro                    11              18         
367    Harold S. Bucquet                     Lionel Barrymore                 11              17         
368    K. Madhu                              Mammootty                        11              17         
369    Sreenu Vaitla                         Brahmanandam                     11              17         
370    Murat Seker                           Murat Akkoyunlu                  11              16         
371    S.K. Bhagavan                         Rajkumar                         11              16         
372    Philippe Clair                        Philippe Clair                   11              15         
373    Gray Hofmeyr                          Leon Schuster                    11              15         
374    Joel Haver                            Joel Haver                       11              15         
375    Leonardo Pieraccioni                  Massimo Ceccherini               11              15         
376    Fernando Poe Jr.                      Paquito Diaz                     11              15         
377    Erik Clausen                          Erik Clausen                     11              14         
378    A.R. Badul                            A.R. Badul                       11              13         
379    Pier Francesco Pingitore              Pippo Franco                     11              13         
380    Jerry Lewis                           Jerry Lewis                      11              12         
381    Narasimha Rao Relangi                 Rajendra Prasad                  11              12         
382    Ashley Hays Wright                    David Owen Wright                11              12         
383    Mohamad Ali Fardin                    Mohamad Ali Fardin               11              11         
384    Michael Jason Allen                   Michael Jason Allen              11              11         
385    Lew Landers                           Paul Guilfoyle                   10              125        
386    Atif Yilmaz                           Ihsan Yüce                       10              100        
387    Charles Lamont                        Robert Paige                     10              82         
388    Ray Taylor                            William Desmond                  10              80         
389    Christy Cabanne                       Andy Devine                      10              67         
390    Lewis D. Collins                      Jack Holt                        10              65         
391    George Archainbaud                    William Boyd                     10              64         
392    Fernando Cortés                       Germán Valdés                    10              62         
393    Charles Barton                        Bud Abbott                       10              57         
394    Fred Olen Ray                         Tim Abell                        10              57         
395    Harald Reinl                          Dieter Eppler                    10              56         
396    Omiros Efstratiadis                   Makis Demiris                    10              55         
397    R.G. Springsteen                      Roy Barcroft                     10              55         
398    Mario Monicelli                       Alberto Sordi                    10              53         
399    Alekos Sakellarios                    Lambros Konstantaras             10              51         
400    Kôji Wakamatsu                        Ken Yoshizawa                    10              51         
401    Louis King                            J. Carrol Naish                  10              47         
402    Halit Refig                           Cüneyt Arkin                     10              45         
403    Steve Sekely                          Gyula Kabos                      10              45         
404    Houssam El-Din Mustafa                Tawfik El Deken                  10              44         
405    Alfred Vohrer                         Siegfried Schürenberg            10              44         
406    Edward Sedgwick                       Buster Keaton                    10              43         
407    Otakar Vávra                          Zdenek Stepánek                  10              42         
408    Rubén Galindo                         Pedro Infante Jr.                10              40         
409    Luis Lucia                            Manuel Luna                      10              39         
410    Miguel Zacarías                       René Cardona                     10              39         
411    Martin Scorsese                       Robert De Niro                   10              37         
412    Meng-Hua Ho                           Lo Lieh                          10              37         
413    Marcel Varnel                         Moore Marriott                   10              37         
414    Wei Lo                                James Tien                       10              37         
415    Giorgio Simonelli                     Franco Franchi                   10              35         
416    Mahesh Manjrekar                      Sachin Khedekar                  10              34         
417    Ray Nazarro                           Guinn 'Big Boy' Williams         10              34         
418    Kôsaku Yamashita                      Tatsuo Endô                      10              34         
419    Fatin Abdulwahhab                     Ismail Yassin                    10              33         
420    Fernando Durán Rojas                  Alfredo Gutiérrez                10              33         
421    Ramón Fernández                       Arturo Fernández                 10              32         
